state,name,place_id,google_maps_url,website,formatted_address,latitude,longitude,phone_number,scorecard_url,scorecard_source_page,scorecard_match_text
NC,Carolina Trace Country Club,ChIJ7yd-7lRfq4kRpgSrPaybttg,https://maps.google.com/?cid=15615839922025071782&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.carolinatracecc.com/,"2100 Country Club Dr, Sanford, NC 27332, USA",35.4132787,-79.1039564,(919) 499-5121,,,
NC,Tobacco Road Golf Course,ChIJ85Nr85pXq4kRFNpVYNKl49k,https://maps.google.com/?cid=15700575048921635348&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://tobaccoroadgolf.com/?utm_source=extnet&utm_medium=yext,"442 Tobacco Rd, Sanford, NC 27332, USA",35.397455199999996,-79.2136725,(877) 284-3762,,,
VA,More Golf,ChIJ8_ETtAHBtokRYiu_sxNwp0o,https://maps.google.com/?cid=5379391509839686498&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://moregolfswing.com/,"10813 Courthouse Rd STE 106, Fredericksburg, VA 22408, USA",38.251629799999996,-77.5036461,(866) 669-7888,,,
VA,Royal New Kent Golf Club,ChIJ9ZcceX7vsIkR7rMuUqizdIs,https://maps.google.com/?cid=10048854204085089262&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://royalnewkent.com/,"10100 Kent Field Rd, Providence Forge, VA 23140, USA",37.47351520000001,-77.01665129999999,(804) 966-7023,https://www.royalnewkent.com/course/scorecard/,http://royalnewkent.com/,Scorecard
NC,Graysburg Hills Golf Course,ChIJ9_u_t5NZWogRAPTkHmSELZ4,https://maps.google.com/?cid=11397911797494510592&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://graysburghillsgolf.com/,"910 Graysburg Hills Rd, Chuckey, TN 37641, USA",36.3131828,-82.7002716,(423) 234-8061,https://graysburghillsgolf.com/course-info/scorecard/,http://graysburghillsgolf.com/,Scorecard
NC,Rolling Green Golf Course,ChIJ9d8XpT1KWIgRoX60wxpZGus,https://maps.google.com/?cid=16940950919794949793&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.rollinggreengolf.com,"386 Hester Store Rd, Easley, SC 29640, USA",34.917812,-82.5844061,(864) 859-7716,,,
NC,Johnson City Country Club,ChIJARggaZ99WogRgAt0rWqu-t4,https://maps.google.com/?cid=16067346393797495680&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://johnsoncitycountryclub.com/,"1901 E Unaka Ave, Johnson City, TN 37601, USA",36.3427424,-82.3404868,(423) 975-5520,,,
VA,Sunny Croft Country Club,ChIJB01blJdpSogRFx5ZdHnBPxM,https://maps.google.com/?cid=1387039937640603159&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,"1102 Good Hope Pike, Clarksburg, WV 26301, USA",39.259623,-80.3867344,(304) 624-4421,,,
VA,Safe Harbor Great Oak Landing,ChIJB1yFv23xx4kRgVFmYv0mh44,https://maps.google.com/?cid=10270220344961159553&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://mearsgreatoaklanding.com/,"22170 Great Oak Landing Rd, Chestertown, MD 21620, USA",39.263327800000006,-76.2035041,(410) 778-5007,,,
NC,Duck Woods Country Club,ChIJB_3CDhcgpYkRqQsvBBU6jxI,https://maps.google.com/?cid=1337351476291242921&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://duckwoodscc.com/,"50 S Dogwood Trail, Southern Shores, NC 27949, USA",36.1076221,-75.7368783,(252) 261-2744,,,
NC,Butternut Creek Golf Course,ChIJBylyupsXX4gRTpVfJOB97R0,https://maps.google.com/?cid=2156518198216725838&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.butternutcreek.golf/,"129 Union Co Rec Rd, Blairsville, GA 30512, USA",34.8755047,-83.96591389999999,(706) 439-6076,https://butternutcreek.golf/scorecard-2/,https://www.butternutcreek.golf/,Scorecard
NC,910 Golf Simulator and Lounge,ChIJBzvqe_oRq4kRHJOIZocYhvA,https://maps.google.com/?cid=17331567185801810716&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.910golfsimulator.com/,"4754 US-301, Hope Mills, NC 28348, USA",34.956559999999996,-78.92397129999999,(910) 294-2375,,,
NC,Valhalla resort and Golf in Innsbruck,ChIJCzZ1RC42X4gRUSj1ZX4bp78,https://maps.google.com/?cid=13810037012045310033&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://valhallaresorthotel.com/best-golf-courses-in-north-georgia,"664 Bahn Innsbruck, Helen, GA 30545, USA",34.7097222,-83.71305559999999,(706) 878-2100,,,
NC,Twin Creeks Golf Course,ChIJDdHIJ0dFWogRaLdZTbsiA1M,https://maps.google.com/?cid=5981662917930104680&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.facebook.com/people/Twin-Creeks-Golf-Course/100063593240460/,"90 Chuckey Hwy, Chuckey, TN 37641, USA",36.2003784,-82.7160186,(423) 257-5192,,,
VA,Monster Mini Golf Stafford,ChIJE3q4LNTxtokR8302QHWQJs4,https://maps.google.com/?cid=14854719254191046131&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://monsterminigolf.com/locations/us/va/stafford/,"308 Worth Ave, Stafford, VA 22556, USA",38.4757348,-77.4185873,(540) 426-4983,,,
VA,Deer Cove Golf Course,ChIJEw_igWWGsIkRBfQZVLXztbo,https://maps.google.com/?cid=13453927421964841989&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.navylifema.com/programs/64ff3eb6-b29c-48a1-8dca-614e8e5b4eb8,"108 Sanda Ave, Williamsburg, VA 23185, USA",37.282805599999996,-76.59421840000002,(757) 887-6539,,,
VA,Indoor Golf,ChIJFXc7kDPBtokRZn3cKGjlEpY,https://maps.google.com/?cid=10813957890794880358&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.keepactivegolf.com/,"4127 Plank Rd, Fredericksburg, VA 22407, USA",38.290863699999996,-77.53190889999999,(540) 792-3727,,,
VA,THE LODGE at Kiln Creek,ChIJFbVPDzV_sIkR-F9dImq9XB8,https://maps.google.com/?cid=2259889376573874168&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.thelodgeatkilncreek.com/,"1003 Brick Kiln Blvd, Newport News, VA 23602, USA",37.118486499999996,-76.4815716,(757) 874-2600,,,
VA,The Golf Club of Bristol,ChIJFyjQaEhxUIgRw1myzGV-3w4,https://maps.google.com/?cid=1071714212028504515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,"6045 Old Jonesboro Rd, Bristol, TN 37620, USA",36.587802499999995,-82.1178169,(423) 573-2375,,,
VA,Great Oak Club and Golf Course,ChIJG-Q68Gzxx4kR7b7jMQmkJBc,https://maps.google.com/?cid=1667638121432596205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,"Chestertown, MD 21620, USA",39.265774500000006,-76.1990218,,,,
NC,Paris Mountain Country Club,ChIJGWNZkPUyWIgRqdJRimrAM1w,https://maps.google.com/?cid=6643865439121298089&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.parismountaincc.net/,"301 Old Rockhouse Rd, Greenville, SC 29609, USA",34.9332923,-82.4152984,(864) 834-4781,,,
NC,Neighborhood National No. 5,ChIJHQvx4qjnrIkR6ubeRmNiZII,https://maps.google.com/?cid=9395742901131994858&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.neighborhoodnationalgc.com/,"4409 Randall Rd, Durham, NC 27707, USA",35.9355188,-78.9919525,(612) 414-2462,,,
NC,Olde Eight,ChIJHRNJVBv9V4gR0fvkVxSgXj8,https://maps.google.com/?cid=4566263081434676177&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.oldeeight.com/,"709 Swing About, Greenwood, SC 29649, USA",34.290807,-82.0973317,(844) 653-3888,,,
VA,Birdies... Where Are You,ChIJJb3Z4vpBTYgRv-lR-a_cQ1o,https://maps.google.com/?cid=6504284935213410751&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://birdieswhereareyou.com/,"96 Builders Pride Dr, Hardy, VA 24101, USA",37.118673799999996,-79.71738069999999,(804) 398-9203,,,
NC,Cp landscaping LLC,ChIJJcnT7ug3WIgRoF2RjObuO4c,https://maps.google.com/?cid=9744644892714425760&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.cplandscapingllc.com/,"4466 Old Easley Bridge Rd Greenville, 4466 Old Easley Bridge Rd, Easley, SC 29642, USA",34.820603999999996,-82.4994918,(864) 395-9663,,,
NC,Sequoyah National Golf Club,ChIJJe2doS9BWYgRdxSiTfJWLy8,https://maps.google.com/?cid=3400031842372555895&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.sequoyahnational.com/,"79 Cahon's Mt Rd, Whittier, NC 28789, USA",35.431703399999996,-83.32907329999999,(828) 497-3000,,,
VA,Mill Creek Country Club,ChIJJxDs9QNntYkReJ1kn5Pp-0s,https://maps.google.com/?cid=5475226592242605432&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,"Burlington, WV 26710, USA",39.3403117,-78.9796636,(304) 289-3160,,,
NC,Fox Run Country Club,ChIJKxLic9KJV4gRpofmkMtY-L0,https://maps.google.com/?cid=13688788698725255078&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://foxrunclub.com/,"215 Club Dr, Simpsonville, SC 29681, USA",34.7398537,-82.2057821,(864) 967-9505,,,
,The Tree Farm,ChIJL1bshZP3-IgRMOBREoQWRe8,https://maps.google.com/?cid=17241211504956661808&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://thetreefarm.golf/,"4456 Tree Farm Trl, Batesburg-Leesville, SC 29006, USA",33.739981199999995,-81.5064063,,,,
NC,Twin Lakes Golf Course,ChIJLXoUTLjGrIkRtRC_Jf9u0e0,https://maps.google.com/?cid=17136600099250442421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://twinlakes-golfch.com/,"648 Willow Way, Chapel Hill, NC 27516, USA",35.8355654,-79.1235512,(919) 933-1024,,,
NC,The Golf Club at Chapel Ridge,ChIJLcfbtibIrIkR05i4ovSQJ_A,https://maps.google.com/?cid=17304959473570846931&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.chapelridgegolfclub.com/,"1010 Chapel Ridge Dr, Pittsboro, NC 27312, USA",35.783115099999996,-79.2281919,(919) 545-2242,,,
NC,Streaking Birdies,ChIJM3o8jql1V4gR-R2WcSmzNZA,https://maps.google.com/?cid=10391408705807982073&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://streakingbirdies.com/,"226E W Main St, Spartanburg, SC 29306, USA",34.9486257,-81.935707,(864) 875-1594,,,
NC,Chapel Hill Country Club,ChIJM67d4Q_orIkRku5LuRkGTCc,https://maps.google.com/?cid=2831644973261909650&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.chapelhillcountryclub.com/,"103 Lancaster Dr, Chapel Hill, NC 27517, USA",35.9208802,-79.0090649,(919) 967-8201,,,
NC,Lane Creek Golf Club,ChIJM9oCVx939ogR88V6yQiUYIk,https://maps.google.com/?cid=9899074746421265907&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.lanecreekgolfclub.com/,"1201 Club Dr, Bishop, GA 30621, USA",33.8421702,-83.531744,(706) 769-6699,,,
NC,"Mountaintop Properties, LLC",ChIJMdxDO_QbWYgRDHebq3RktHU,https://maps.google.com/?cid=8481514450503563020&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://mountaintopproperties.com/,"34 N High Mountain Dr, Cashiers, NC 28717, USA",35.1094991,-83.1487877,(828) 743-4701,,,
VA,Endless Swings Indoor Golf,ChIJN7J5ZH3vtokRzaDgjJzoOMI,https://maps.google.com/?cid=13995191601129889997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://endlessswings.com/,"20 Berkshire Dr Suite 107, Stafford, VA 22554, USA",38.4728663,-77.4411981,(540) 300-7071,,,
NC,Thornblade Club Maintenance,ChIJNUccyHMpWIgRgQ5sE4DNexg,https://maps.google.com/?cid=1764229629011037825&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.thornbladeclub.com/,"91 Bent Oak Rd, Greer, SC 29650, USA",34.8630488,-82.2658573,(864) 234-5120,,,
NC,Pebble Creek Golf Course,ChIJOfee8_8sWIgR1m-F4WotmbI,https://maps.google.com/?cid=12869367347261304790&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.pebblecreek-club.com/,"101 Pebble Creek Dr, Taylors, SC 29687, USA",34.929148,-82.34696699999999,(864) 244-8937,,,
NC,McDonald Hills Golf,ChIJP0UmzRCqW4gRS0RJr_1elSA,https://maps.google.com/?cid=2347887224404132939&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://mc-donald-hills-golf.jany.io/,"352 Guntown Rd, Rogersville, TN 37857, USA",36.3898971,-82.9820816,(423) 272-1477,,,
NC,Wolf Creek Golf Club,ChIJP6o3zPLDUogR1zV4O31n_18,https://maps.google.com/?cid=6917361340230677975&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,"722 Wolf Island Rd, Reidsville, NC 27320, USA",36.399710999999996,-79.65944329999999,(336) 349-7660,,,
NC,The Carolina Country Club,ChIJP7J5ShyfV4gRqbHbQyw4RHI,https://maps.google.com/?cid=8233767781508297129&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://bit.ly/3uA3mQm,"2355 Carolina Country Club Rd, Spartanburg, SC 29306, USA",34.8803307,-81.9112705,(864) 583-1246,https://thecarolinacountryclub.com/the-carolina-country-club/,https://bit.ly/3uA3mQm,Scorecard
NC,Old Edwards Club,ChIJP9WrTwccWYgR9QLjCh38CqQ,https://maps.google.com/?cid=11820537373654188789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.oldedwardsclub.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,"688 Highlands Cove Drive, Cashiers, NC 28717, USA",35.1051765,-83.161203,(828) 526-1783,,,
VA,Queenfield Golf Club,ChIJPT2d060gsYkRjggqK4JCgAw,https://maps.google.com/?cid=900793052311455886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://queenfieldgolf.com/,"1896 Dabneys Mill Rd, Manquin, VA 23106, USA",37.7110087,-77.1967636,(804) 769-8838,,,
NC,Bushwood Golf Studio,ChIJPdZWV6gBW4gRtICRdO1Eprw,https://maps.google.com/?cid=13593628311918051508&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://bushwood-golf-studio2023.square.site/,"5020 US-11W, Rogersville, TN 37857, USA",36.4589615,-82.94498820000001,(423) 500-8183,,,
NC,Knobbs Creek Recreation Center,ChIJPxeiH5tFpYkR8BFfkR3BnYo,https://maps.google.com/?cid=9988351881314767344&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://visitelizabethcity.com/knobbs-creek-park,"200 E Ward St, Elizabeth City, NC 27909, USA",36.3105185,-76.2177648,(252) 335-1424,,,
NC,Sea Scape Golf Links,ChIJQy8imAPgpIkRf9WfhmWzpGM,https://maps.google.com/?cid=7180060954567103871&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://seascapegolf.com/,"300 W Eckner St, Kitty Hawk, NC 27949, USA",36.085395,-75.70885849999999,(252) 261-2158,https://www.seascapegolf.com/scorecard/,http://seascapegolf.com/,Scorecard
NC,Holly Ridge Golf Links,ChIJS4lCfbcNU4gR2yPgqDGHFdw,https://maps.google.com/?cid=15858730310211478491&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.hollyridgegolflinks.com/,"South, 7933 US-311, Archdale, NC 27263, USA",35.8579053,-79.8975572,(336) 861-4653,https://hollyridgegolflinks.com/wp-content/uploads/2021/09/scorecard-pdf-2021.pdf,http://www.hollyridgegolflinks.com/golf,Click here for online scorecard PDF
NC,Hartwell Golf Club,ChIJS7jd-smBWIgRz5NQCmVqx38,https://maps.google.com/?cid=9207444945379562447&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://hartwellgolfcourse.com/,"755 Golf Course Rd, Hartwell, GA 30643, USA",34.3282356,-82.95481869999999,(706) 376-8161,,,
NC,The Pines at Elizabeth City,ChIJSSsyISNFpYkRBmkja3EobdQ,https://maps.google.com/?cid=15306935176096082182&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.pinesgolfnc.com/,"1525 N Road St, Elizabeth City, NC 27909, USA",36.335779699999996,-76.2367455,(252) 254-2111,,,
NC,Greenville Country Club Chanticleer Course,ChIJSV_E1w4wWIgRtoRHq60K290,https://maps.google.com/?cid=15986383043300918454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.gccsc.com/,"502 Garden Trail, Gantt, SC 29605, USA",34.8046431,-82.40188959999999,(864) 232-6771,,,
VA,Brickshire Golf Club & Grille,ChIJT-0QmXrvsIkR8vMBrOaYkIo,https://maps.google.com/?cid=9984648490376098802&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://brickshiregolfclub.com/,"5520 Virginia Park Dr, Providence Forge, VA 23140, USA",37.4774481,-76.9982538,(804) 966-7888,,,
NC,Elks Lodge Par 3 Golf Course,ChIJTS8FAtBvWogRhkmxnLvwqG0,https://maps.google.com/?cid=7901830234799950214&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://par3nearme.com/course/elks-lodge-par-3/,"Old Fishery Rd, Erwin, TN 37650, USA",36.1779589,-82.3816939,(423) 743-8559,,,
VA,The Manor Golf Club,ChIJTSGU3RRPsokRUCDLc4rprGI,https://maps.google.com/?cid=7110314692568621136&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.golfthemanor.com/,"872 Manor House Dr, Farmville, VA 23901, USA",37.246792899999996,-78.4075221,(434) 392-2244,,,
NC,The Currituck Club,ChIJTVVVVfHSuokRBSdLEU_hWuo,https://maps.google.com/?cid=16887057482487899909&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.invitedclubs.com/clubs/the-currituck-club,"620 Currituck Clubhouse Dr, Corolla, NC 27927, USA",36.300551,-75.80648599999999,(252) 453-9400,,,
,Xtreme Golf Management,ChIJTaioMkWFXIgRZxaTd03pl-0,https://maps.google.com/?cid=17120409027400111719&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://xtremegolfmanagement.com/,"235 S 46th St, Middlesboro, KY 40965, USA",36.6028559,-83.7529665,(606) 269-5493,,,
NC,Occano Golf Shop,ChIJTfNnLE6ar4kRalwrTs3d-WM,https://maps.google.com/?cid=7204032952805317738&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.occano.com/golf/,"919 Avoca Farm Rd, Windsor, NC 27983, USA",36.0028654,-76.6994666,(252) 482-5300,,,
NC,Governors Club Golf Course,ChIJU-UdkB7CrIkRW_urm24o2g8,https://maps.google.com/?cid=1142269911015095131&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.governorsclubnc.com/,"11000 Governors Dr, Chapel Hill, NC 27517, USA",35.846174600000005,-79.039627,(919) 933-7500,,,
NC,Topgolf Greenville,ChIJUQumfvcpWIgRy30PaMi1zY8,https://maps.google.com/?cid=10362138189993311691&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://topgolf.com/us/greenville/,"201 Clifton Ct, Greenville, SC 29615, USA",34.8570786,-82.2614565,(864) 315-3351,,,
